Date;AA;AIG;ATT;AXP;BA;CAT;CITI;DD;DIS;GE;GM;HD;HON;HP;IBM;INT;JNJ;JPM;KO;MCD;MMM;MO;MRK;MSFT;PFE;PG;UTX;VZ;WM;XON
31.дек.04;30,59;65,09;23,81;48,67;50,72;47,53;45,89;47,06;27,51;35,29;37,21;42,17;34,45;20,65;97,42;22,97;61,84;36,92;40,28;31,42;79,81;57,87;30,24;26,31;25,84;53,44;50,62;37,77;52,17;49,98
03.янв.05;30,18;65,44;23,64;48,27;49,93;46,34;45,98;47,13;27,56;35,38;37,43;42,52;34,34;20,73;96,6;22,66;61,33;37,05;40,19;31,18;80,13;57,43;29,41;26,33;25,42;53,55;50,44;37,75;52,7;48,84
04.янв.05;29,64;65,66;23,39;47,55;48,96;45,83;45,59;46,11;27,26;34,96;37,05;41,98;33,73;20,59;95,56;22,21;61,14;36,67;39,63;31,44;79,48;57,83;29,29;26,43;25,42;52,88;49,86;37,37;52,57;48,51
05.янв.05;29,46;66,75;23,51;47,11;49,78;44,95;46,16;45,49;27,11;34,74;36,33;41,6;33,63;20,68;95,36;21,99;61,1;36,75;39,44;31,19;78,5;57,72;29,49;26,37;25,25;53,43;49,49;37,31;52,64;48,26
06.янв.05;29,59;66,86;23,54;46,87;49,45;45,62;46,61;45,49;27,15;35,02;36,64;40,97;33,41;20,64;95,07;22,06;61,27;36,96;39,77;31,44;79,21;57,31;29,7;26,34;25,27;53,7;49,52;37,23;53,39;48,87
07.янв.05;29,89;66,98;23,47;46,52;49,29;45,52;46,34;45,45;26,88;34,81;36,22;40,87;33,28;20,52;94,65;22,39;61,05;36,66;39,82;31,23;80,03;58,16;29,29;26,26;25,28;54,26;48,99;37,1;53,33;48,55
10.янв.05;29,68;67,1;23,3;46,61;49,94;45,1;46,05;45,51;26,99;34,72;35,75;41,24;33,18;20,49;94,55;22,47;61,53;36,54;40,04;31,03;81,62;58,92;29,64;26,39;25,41;54,69;48,85;36,74;53,06;48,73
11.янв.05;28,88;66,55;23,07;46,18;49,79;44,48;45,93;45,27;26,92;34,23;35,71;41,15;33,08;19,74;93,88;22,14;61,31;36,19;39,82;30,47;82,37;58,35;29,33;26,32;25,13;54,63;49,05;36,34;52,93;48,61
12.янв.05;28,66;66,19;23,22;46,08;50,88;45,03;45,79;45,29;27,43;34,5;35,66;41,63;34,03;19,73;94,09;22,75;61,74;36,27;39,82;30,71;82,62;58,38;29,24;26,37;25,02;54,83;49,93;35,99;53,42;49,33
13.янв.05;28,73;65,41;22,86;45,76;49,6;45,26;45,34;44,97;27,46;34,07;34,66;41,17;33,64;19,64;93,34;22,41;60,43;36,06;39,41;30,27;81,48;59,01;28,84;25,87;24,35;53,88;49,27;34,92;52,98;49,29
